name,dist_pc,aliases
M91,19316000,NGC4548
M92,8190,NGC6341
M93,1100,NGC2447
M94,4906000,NGC4736
M95,9995000,NGC3351
M96,9505000,NGC3368
M97,622.4,NGC3587/Owl Nebula
M98,13613000,NGC4192
M99,15391000,NGC4254
M100,16863000,NGC4321
M101,6408000,NGC5457/Pinwheel Galaxy
M102,15330000,NGC5866/Spindle Galaxy
M103,3070,NGC581
M104,8983000,NGC4594/Sombrero Galaxy
M105,9811000,NGC3379
M106,7266000,NGC4258
M107,6410,NGC6171
M108,13797000,NGC3556
M109,25601000,NGC3992
M110,825000,NGC205
NGC7000,794.1,North America Nebula/Caldwell 20
NGC6960,735.8,Western Veil Nebula/Witch's Broom
NGC6992,735.8,Eastern Veil Nebula
NGC6995,735.8,Bat Nebula
NGC6979,735.8,Pickering's Triangle
NGC7635,3370,Bubble Nebula
NGC281,2910,Pacman Nebula/Sh2-184
NGC2237,1590,Rosette Nebula
NGC2244,1590,Rosette Cluster
NGC2264,797.2,Cone Nebula/Christmas Tree Cluster
NGC1499,306.6,California Nebula/Sh2-220
NGC2024,413.9,Flame Nebula
NGC1977,459.9,Running Man Nebula
NGC869,2300,h Persei
NGC884,2300,Chi Persei
NGC253,3495000,Sculptor Galaxy/Caldwell 65
NGC891,9198000,Caldwell 23
NGC4565,13092000,Needle Galaxy/Caldwell 38
NGC5128,3679000,Centaurus A/Caldwell 77
NGC6888,1530,Crescent Nebula/Caldwell 27
NGC6543,1010,Cat's Eye Nebula/Caldwell 6
NGC7293,200.8,Helix Nebula/Caldwell 63
NGC7331,12264000,Caldwell 30
NGC7380,2210,Wizard Nebula/Sh2-142
NGC6820,1840,
NGC6823,1840,
NGC2070,49060,Tarantula Nebula
NGC6334,1690,Cat's Paw Nebula
NGC6357,1690,Lobster Nebula
NGC3372,2300,Carina Nebula/Eta Carinae Nebula
NGC6188,1230,
NGC2359,3680,Thor's Helmet
NGC1333,306.6,
NGC7023,398.6,Iris Nebula/Caldwell 4
NGC2903,9198000,
NGC4631,7665000,Whale Galaxy/Caldwell 32
NGC4656,7665000,Hockey Stick Galaxy
NGC5907,15330000,Splinter Galaxy
NGC3628,10731000,Hamburger Galaxy
NGC4038,13797000,Antennae Galaxies
NGC4039,13797000,
NGC6302,1040,Bug Nebula/Butterfly Nebula
NGC246,490.6,Skull Nebula/Caldwell 56
NGC7009,1590,Saturn Nebula/Caldwell 55
NGC6781,459.9,
NGC7129,1010,
NGC1275,72665000,Perseus A
NGC7822,889.1,
NGC896,2300,
NGC2174,1960,Monkey Head Nebula
NGC3324,2210,Gabriela Mistral Nebula
NGC6726,153.3,
IC1396,735.8,Elephant's Trunk Nebula
IC1805,2300,Heart Nebula/Sh2-190
IC1848,2300,Soul Nebula/Sh2-199
IC434,421.6,Horsehead Nebula/Barnard 33
IC5070,551.9,Pelican Nebula
IC443,1530,Jellyfish Nebula/Sh2-248
IC405,459.9,Flaming Star Nebula
IC410,3680,Tadpoles Nebula
IC2177,1170,Seagull Nebula
IC1318,1500,Gamma Cygni Nebula
IC63,168.6,Ghost of Cassiopeia
IC342,3281000,Hidden Galaxy/Caldwell 5
IC5146,766.5,Cocoon Nebula/Caldwell 19
IC2118,306.6,Witch Head Nebula
